"","uID","Year","Outcome","months_with_outcome","Txmonths","isCoal","initialYear","S_n_CR","avgNOxControls","scrubber","totOpTime","NOxemissions","SO2emissions","CO2emissions","GrossLoad","HeatInput","pctCapacity","Phase2","EPA.Region","Latitude","Longitude","Tx","coal_no_scrubber","coal_with_scrubber"
"3320","856_3",2014,703.507,12,12,TRUE,1972,TRUE,1,FALSE,7558.6,703.507,4244.068,2171430.73,2111601.82,20704031.7,0.515212171431243,1,5,40.5958,-89.6631,TRUE,TRUE,FALSE
"3321","861_1",2014,655.77,12,12,TRUE,1965,TRUE,1,TRUE,7531.41,655.77,22.359,2157578.02,2151742.02,20571870.1,0.616038434057369,0,5,39.0586,-89.4031,TRUE,FALSE,TRUE
"3322","861_2",2014,1222.791,12,12,TRUE,1972,TRUE,1,TRUE,7514.38,1222.791,9.788,3729229.64,3635208.28,35557129.5,0.619444203458808,0,5,39.0586,-89.4031,TRUE,FALSE,TRUE
"3323","863_6",2002,901.627,12,0,TRUE,NA,FALSE,0,FALSE,6684,901.627,7791.388,353240.08,340037,3442887.6,0.401777938694635,1,5,39.1333,-87.6597,FALSE,TRUE,FALSE
"3324","864_1",2002,291.639,12,0,TRUE,NA,FALSE,0,FALSE,3343.5,291.639,2844.07,116346.042,NA,1133978.12,0.235494500893129,1,5,39.8194,-90.5647,FALSE,TRUE,FALSE
"3325","864_2",2002,335.762,12,0,TRUE,NA,FALSE,0,FALSE,3592.75,335.762,3356.261,137173.892,NA,1336980.56,0.238778563191944,1,5,39.8194,-90.5647,FALSE,TRUE,FALSE
"3326","864_3",2002,270.77,12,0,TRUE,NA,FALSE,0,FALSE,3019,270.77,2694.247,109691.315,NA,1069117.81,0.225899529167461,1,5,39.8194,-90.5647,FALSE,TRUE,FALSE
"3327","864_5",2002,2523.897,12,0,TRUE,NA,FALSE,1,FALSE,7064,2523.897,12639.177,1109146.17,984208,10810414.6,0.442307409809918,0,5,39.8194,-90.5647,FALSE,TRUE,FALSE
"3328","867_7",2002,1186.944,12,0,TRUE,1958,FALSE,1,FALSE,7276,1186.944,3142.253,1192921.99,1049148,11626897.1,0.566577637788475,1,5,41.8278,-87.7236,FALSE,TRUE,FALSE
"3329","867_8",2002,1662.838,12,0,TRUE,1961,FALSE,1,FALSE,7267,1662.838,4453.306,1779891.9,1588995,17347866.9,0.555000959713296,1,5,41.8278,-87.7236,FALSE,TRUE,FALSE
